date,open,high,low,close,volume
2026-06-23,2.35,2.36,2.33,2.34,1705831.0
2026-06-24,2.34,2.36,2.33,2.34,1681381.0
2026-06-25,2.34,2.37,2.33,2.35,3445253.0
2026-06-28,2.34,2.37,2.33,2.34,1195799.0
2026-06-29,2.34,2.38,2.33,2.37,3596324.0
2026-06-30,2.4,2.44,2.35,2.41,13691419.0
2026-07-01,2.42,2.47,2.36,2.39,10839010.0
2026-07-02,2.4,2.45,2.37,2.42,7885550.0
2026-07-05,2.47,2.55,2.46,2.52,14025972.0
2026-07-06,2.52,2.52,2.38,2.41,5368339.0
2026-07-07,2.44,2.44,2.31,2.31,7202285.0
2026-07-08,2.3,2.3,2.24,2.28,3954362.0
2026-07-09,2.29,2.29,2.25,2.25,1506689.0
2026-07-12,2.26,2.47,2.26,2.45,12835399.0
2026-07-13,2.45,2.45,2.34,2.34,7811478.0
2026-07-14,2.35,2.37,2.3,2.33,4190890.0
2026-07-15,2.34,2.43,2.33,2.34,3872906.0
2026-07-16,2.35,2.37,2.33,2.35,1908414.0
2026-07-19,2.34,2.35,2.3,2.3,2108966.0
2026-07-20,2.3,2.37,2.3,2.34,5505159.0
2026-07-21,2.34,2.36,2.3,2.32,2231038.0
2026-07-22,2.32,2.35,2.3,2.33,913666.0
2026-07-23,2.33,2.35,2.31,2.33,875126.0
2026-07-26,2.34,2.35,2.3,2.3,1526785.0
2026-07-27,2.31,2.34,2.31,2.32,1032169.0
2026-07-28,2.32,2.33,2.28,2.3,1444582.0
2026-07-29,2.3,2.33,2.27,2.3,2984815.0
2026-07-30,2.3,2.33,2.3,2.31,1255294.0
2026-08-02,2.31,2.34,2.3,2.32,1851784.0
2026-08-03,2.32,2.55,2.32,2.52,16880124.0
2026-08-04,2.51,2.6,2.46,2.49,11156490.0
2026-08-05,2.5,2.57,2.41,2.43,8283908.0
2026-08-06,2.43,2.52,2.42,2.48,4052063.0
2026-08-09,2.46,2.5,2.41,2.42,1657419.0
2026-08-10,2.42,2.42,2.34,2.35,2432475.0
2026-08-11,2.35,2.38,2.33,2.35,1289834.0
2026-08-12,2.35,2.4,2.34,2.37,1692401.0
2026-08-13,2.37,2.41,2.35,2.35,1530346.0
2026-08-16,2.41,2.41,2.33,2.34,1764764.0
2026-08-17,2.34,2.35,2.32,2.34,843837.0
2026-08-18,2.33,2.34,2.31,2.34,454856.0
2026-08-19,2.33,2.33,2.27,2.29,3080968.0
2026-08-20,2.3,2.33,2.3,2.32,1318387.0
2026-08-23,2.32,2.35,2.31,2.32,1159654.0
2026-08-24,2.33,2.35,2.31,2.31,1204310.0
2026-08-25,2.32,2.33,2.29,2.31,2422649.0
2026-08-26,2.32,2.32,2.27,2.3,3244322.0
2026-08-27,2.28,2.33,2.27,2.3,2727290.0
2026-08-30,2.32,2.32,2.29,2.31,1424845.0
2026-08-31,2.3,2.32,2.29,2.29,2050727.0
2026-09-01,2.29,2.31,2.29,2.29,1014164.0
2026-09-02,2.3,2.3,2.25,2.26,1747640.0
2026-09-03,2.26,2.28,2.25,2.26,993575.0
2026-09-06,2.25,2.28,2.25,2.26,985334.0
2026-09-07,2.26,2.27,2.22,2.23,1224842.0
2026-09-08,2.23,2.24,2.22,2.24,608196.0
2026-09-09,2.24,2.27,2.22,2.24,1777741.0
2026-09-10,2.25,2.25,2.22,2.23,1264146.0
2026-09-13,2.22,2.24,2.22,2.24,281092.0
